Subfolder,Deal,NorthHand,EastHand,SouthHand,WestHand,label
2Club,1,S:Q65 H:864 D:KQ86 C:T87,S:974 H:QJ752 D:JT9 C:J5,S:AK82 H:AK3 D:A4 C:KQ94,S:JT3 H:T9 D:7532 C:A632,auction_calm
2Club,2,S:KQ5 H:AK6 D:AK92 C:AT8,S:63 H:T92 D:QJ75 C:K532,S:T872 H:Q53 D:864 C:974,S:AJ94 H:J874 D:T3 C:QJ6,auction_calm
2Club,3,S:Q65 H:864 D:Q986 C:T87,S:974 H:QJ752 D:JT7 C:J5,S:AK82 H:AK3 D:AK C:KQ94,S:JT3 H:T9 D:5432 C:A632,auction_calm
2Club,4,S:KQ5 H:AK6 D:AK92 C:AT8,S:63 H:T92 D:QJ75 C:K532,S:JT82 H:Q53 D:864 C:J94,S:A974 H:J874 D:T3 C:Q76,auction_calm
2Club,5,S:K873 H:92 D:J8742 C:T3,S:AQJ9642 H: D:T6 C:K852,S: H:AKQJ8643 D:A5 C:QJ4,S:T5 H:T75 D:KQ93 C:A976,auction_calm
2Club,6,S:AK4 H:AQT86 D:K2 C:KQT,S:Q32 H:J5 D:875 C:AJ943,S:875 H:K3 D:QJT94 C:752,S:JT96 H:9742 D:A63 C:86,auction_calm
2Club,7,S:K65 H:T864 D:92 C:T873,S:T H:J975 D:AT853 C:J64,S:AQJ83 H:3 D:KQ7 C:AKQ9,S:9742 H:AKQ2 D:J64 C:52,auction_calm
2Club,8,S:AQ H:AK75 D:Q84 C:AKJT,S:J32 H:94 D:J962 C:Q842,S:K875 H:QJT3 D:T5 C:973,S:T964 H:862 D:AK73 C:65,auction_calm
2Club,9,S:J943 H:96 D:9863 C:A82,S:QT87 H:5 D:K742 C:T643,S:AK H:KQJT4 D:AJT C:KJ9,S:652 H:A8732 D:Q5 C:Q75,auction_calm
2Club,10,S:AK8 H:KQT D:KQJ2 C:AT4,S:6542 H:J5432 D:A8 C:86,S:JT7 H:A96 D:T95 C:KQJ3,S:Q93 H:87 D:7643 C:9752,auction_calm
2Club,11,S:AQT64 H:AQ85 D:Q7 C:AK,S:32 H:KT92 D:AKJT9 C:96,S:9875 H:64 D:863 C:J752,S:KJ H:J73 D:542 C:QT843,auction_calm
2Club,12,S:A5 H:A6 D:K7 C:AKQJT63,S:QJ984 H:Q743 D:AJ2 C:5,S:763 H:852 D:9543 C:872,S:KT2 H:KJT9 D:QT86 C:94,auction_calm
