Subfolder,Deal,NorthHand,EastHand,SouthHand,WestHand,label
2Club,1,S:Q65 H:864 D:KQ86 C:T87,S:JT4 H:Q92 D:T732 C:A65,S:AK82 H:AK3 D:A4 C:KQ94,S:973 H:JT75 D:J95 C:J32,auction_calm
2Club,2,S:KQ5 H:AK6 D:AK92 C:AT8,S:94 H:J874 D:Q5 C:KQJ52,S:T872 H:Q53 D:864 C:974,S:AJ63 H:T92 D:JT73 C:63,auction_calm
2Club,3,S:Q65 H:864 D:Q986 C:T87,S:J43 H:QT952 D:732 C:A6,S:AK82 H:AK3 D:AK C:KQ94,S:T97 H:J7 D:JT54 C:J532,auction_calm
2Club,4,S:KQ5 H:AK6 D:AK92 C:AT8,S:A9643 H:J974 D:T C:K73,S:JT82 H:Q53 D:864 C:J94,S:7 H:T82 D:QJ753 C:Q652,auction_calm
2Club,5,S:K873 H:92 D:J8742 C:T3,S:QJT965 H:5 D:KQ9 C:K97,S: H:AKQJ8643 D:A5 C:QJ4,S:A42 H:T7 D:T63 C:A8652,auction_calm
2Club,6,S:AK4 H:AQT86 D:K2 C:KQT,S:JT932 H:J52 D:8 C:AJ83,S:875 H:K3 D:QJT94 C:752,S:Q6 H:974 D:A7653 C:964,auction_calm
2Club,7,S:K65 H:T864 D:92 C:T873,S:97 H:KQJ752 D:J84 C:J6,S:AQJ83 H:3 D:KQ7 C:AKQ9,S:T42 H:A9 D:AT653 C:542,auction_calm
2Club,8,S:AQ H:AK75 D:Q84 C:AKJT,S:J62 H:82 D:J9632 C:Q54,S:K875 H:QJT3 D:T5 C:973,S:T943 H:964 D:AK7 C:862,auction_calm
2Club,9,S:J943 H:96 D:9863 C:A82,S:T76 H:8532 D:K52 C:Q53,S:AK H:KQJT4 D:AJT C:KJ9,S:Q852 H:A7 D:Q74 C:T764,auction_calm
2Club,10,S:AK8 H:KQT D:KQJ2 C:AT4,S:9652 H:843 D:A6 C:9652,S:JT7 H:A96 D:T95 C:KQJ3,S:Q43 H:J752 D:8743 C:87,auction_calm
2Club,11,S:AQT64 H:AQ85 D:Q7 C:AK,S: H:KJT D:AT542 C:Q8643,S:9875 H:64 D:863 C:J752,S:KJ32 H:9732 D:KJ9 C:T9,auction_calm
2Club,12,S:A5 H:A6 D:K7 C:AKQJT63,S:QJT94 H:KT9 D:QJT2 C:9,S:763 H:852 D:9543 C:872,S:K82 H:QJ743 D:A86 C:54,auction_calm
2Club,13,S:Q93 H:A97653 D:72 C:84,S:T8752 H:2 D:A843 C:963,S:AK H:KT84 D:KQ9 C:AKQ5,S:J64 H:QJ D:JT65 C:JT72,auction_calm
2Club,14,S:K53 H:Q95 D:AKQ6 C:AKQ,S:964 H:AJT7 D:52 C:J984,S:AQJT7 H:86 D:943 C:652,S:82 H:K432 D:JT87 C:T73,auction_calm
2Club,15,S:KQ9 H:864 D:AQT6 C:J54,S:J754 H:T52 D:95 C:Q982,S:A82 H:AK3 D:KJ7 C:AKT6,S:T63 H:QJ97 D:8432 C:73,auction_calm
