Lesson,Board,Seat,Fingerprint,Card,Who,Quality,FetchedAt
100Deals,9,W,a767cff7e82e2dda,SK,Simulation (make/set DD),0.7587,2026-08-31T02:11:16Z
100Deals,10,W,b09c25881b511876,HK,Simulation (make/set DD),0.8225,2026-08-31T02:11:24Z
100Deals,95,W,646010c877dc01ef,DT,Simulation (make/set DD),0.86,2026-08-31T02:11:37Z
2Club,1,W,931926edef76ca6c,D2,Simulation (make/set DD),0.866,2026-08-31T02:11:42Z
2Club,2,E,8f4c3cfc5d61a750,S9,Simulation (make/set DD),0.8473,2026-08-31T02:11:47Z
2Club,3,W,6dd7c8b73cb92c8a,C3,Simulation (make/set DD),0.7658,2026-08-31T02:12:03Z
2Club,4,E,bdd67f27402c7f74,H7,Simulation (make/set DD),0.8544,2026-08-31T02:12:06Z
2Club,5,W,d7f97c929be2b6df,DT,Simulation (make/set DD),0.8008,2026-08-31T02:12:11Z
2Club,6,E,b972ac40d98285d6,C8,Simulation (make/set DD),0.7535,2026-08-31T02:12:14Z
2Club,7,W,89b39d5b50a6b485,HK,Simulation (make/set DD),0.7561,2026-08-31T02:12:17Z
2Club,8,E,e4b7a4a883528150,H4,Simulation (make/set DD),0.8204,2026-08-31T02:12:32Z
2Club,9,E,34f77e86f9d8ce87,S8,Simulation (make/set DD),0.7742,2026-08-31T02:12:36Z
2Club,10,W,4e89f6ca9e01ab74,H4,Simulation (make/set DD),0.8061,2026-08-31T02:12:40Z
2Club,11,E,4843a591fce3a24d,C3,Simulation (make/set DD),0.5387,2026-08-31T02:12:44Z
2Club,12,E,bf06f158f469ad1b,HQ,Simulation (make/set DD),0.7225,2026-08-31T02:12:46Z
2Club,13,E,73a9bd7573e6b8fc,SJ,Simulation (make/set DD),0.6692,2026-08-31T02:12:49Z
2Club,14,W,c1e698ce77ee9805,CJ,Simulation (make/set DD),0.738,2026-08-31T02:12:52Z
2Club,15,E,d9eea375ab7efe64,S5,Simulation (make/set DD),0.8089,2026-08-31T02:12:58Z
2Club,16,W,3a8c93cebe75e123,S8,Simulation (make/set DD),0.7903,2026-08-31T02:13:01Z
2Club,17,E,7befbd98eb7ba8aa,SQ,Simulation (make/set DD),0.6806,2026-08-31T02:13:04Z
2Club,18,W,46380be72492470e,DK,Simulation (make/set DD),0.7252,2026-08-31T02:13:10Z
2Club,19,W,7937dd601d2a9e6f,D7,Simulation (make/set DD),0.6227,2026-08-31T02:13:11Z
2Club,20,E,8bdfaa1d15e3f7a7,H7,Simulation (make/set DD),0.757,2026-08-31T02:13:17Z
2over1,1,E,ced7487b635864f4,S3,Simulation (make/set DD),0.8217,2026-08-31T02:13:21Z
2over1,2,E,e736543a681e8bb4,C5,Simulation (make/set DD),0.7525,2026-08-31T02:13:23Z
2over1,3,E,d3a3d1e652247a69,CJ,Simulation (make/set DD),0.7106,2026-08-31T02:13:27Z
2over1,4,E,5b8391c51752aca1,DK,Simulation (make/set DD),0.7907,2026-08-31T02:13:32Z
2over1,5,E,9e3a2075c06254a6,D9,Simulation (make/set DD),0.6789,2026-08-31T02:13:36Z
2over1,6,E,17e0334eb986c41b,CK,Simulation (make/set DD),0.7553,2026-08-31T02:13:38Z
2over1,7,E,1806457ea8b819f1,C7,Simulation (make/set DD),0.7822,2026-08-31T02:13:40Z
2over1,8,W,a32a8d5cfa6afe8d,CJ,Simulation (make/set DD),0.6833,2026-08-31T02:13:43Z
2over1,9,E,f8a0202e099da97f,D2,Simulation (make/set DD),0.8309,2026-08-31T02:13:48Z
2over1,10,E,d7c2658c928f90ac,D7,Simulation (make/set DD),0.6479,2026-08-31T02:13:52Z
2over1,11,E,1d1f9cb831423ae7,SK,Simulation (make/set DD),0.5978,2026-08-31T02:13:55Z
2over1,12,E,4e4b4fe8c33b67ff,HJ,Simulation (make/set DD),0.8024,2026-08-31T02:13:58Z
2over1,13,W,2acb53c4b7fba942,S3,Simulation (make/set DD),0.537,2026-08-31T02:14:01Z
2over1,14,W,1c7726008e5e0d06,S7,Simulation (make/set DD),0.8116,2026-08-31T02:14:04Z
