Subfolder,Deal,Seat,Bid,BidSequence,NorthHand,EastHand,SouthHand,WestHand
2Club,1,West,Calm,Calm,S:Q65 H:864 D:KQ86 C:T87,,S:AK82 H:AK3 D:A4 C:KQ94,
2Club,2,West,Calm,Calm,S:KQ5 H:AK6 D:AK92 C:AT8,,S:T872 H:Q53 D:864 C:974,
2Club,3,West,Calm,Calm,S:Q65 H:864 D:Q986 C:T87,,S:AK82 H:AK3 D:AK C:KQ94,
2Club,4,West,Calm,Calm,S:KQ5 H:AK6 D:AK92 C:AT8,,S:JT82 H:Q53 D:864 C:J94,
2Club,5,West,Calm,Calm,S:K873 H:92 D:J8742 C:T3,,S: H:AKQJ8643 D:A5 C:QJ4,
2Club,6,West,Calm,Calm,S:AK4 H:AQT86 D:K2 C:KQT,,S:875 H:K3 D:QJT94 C:752,
2Club,7,West,Calm,Calm,S:K65 H:T864 D:92 C:T873,,S:AQJ83 H:3 D:KQ7 C:AKQ9,
2Club,8,West,Calm,Calm,S:AQ H:AK75 D:Q84 C:AKJT,,S:K875 H:QJT3 D:T5 C:973,
2Club,9,West,Calm,Calm,S:J943 H:96 D:9863 C:A82,,S:AK H:KQJT4 D:AJT C:KJ9,
2Club,10,West,Calm,Calm,S:AK8 H:KQT D:KQJ2 C:AT4,,S:JT7 H:A96 D:T95 C:KQJ3,
2Club,11,West,Calm,Calm,S:AQT64 H:AQ85 D:Q7 C:AK,,S:9875 H:64 D:863 C:J752,
2Club,12,West,Calm,Calm,S:A5 H:A6 D:K7 C:AKQJT63,,S:763 H:852 D:9543 C:872,
2Club,13,West,Calm,Calm,S:Q93 H:A97653 D:72 C:84,,S:AK H:KT84 D:KQ9 C:AKQ5,
2Club,14,West,Calm,Calm,S:K53 H:Q95 D:AKQ6 C:AKQ,,S:AQJT7 H:86 D:943 C:652,
2Club,15,West,Calm,Calm,S:KQ9 H:864 D:AQT6 C:J54,,S:A82 H:AK3 D:KJ7 C:AKT6,
2Club,16,West,Calm,Calm,S:AK3 H:KQT D:AJ2 C:KQJT,,S:QJT7 H:A96 D:KQ5 C:A83,
2Club,17,West,Calm,Calm,S:AK H:AKT86 D:75 C:AKQ6,,S:86 H:Q752 D:A9864 C:53,
2Club,18,West,Calm,Calm,S:AJ H:AKT86 D:Q94 C:AKQ,,S:KQ9865 H:7 D:85 C:9532,
2Club,19,West,Calm,Calm,S:AJT75 H:8 D:A3 C:97642,,S:KQ63 H:AK D:KQ9 C:AKQ5,
2Club,20,West,Calm,Calm,S:AKQ75 H:A6 D:AQ7 C:KQ3,,S:63 H:KQJT2 D:T96 C:984,
2over1,1,West,Calm,Calm,S:QT5 H:KQJT5 D:74 C:AQ6,,S:J84 H:A2 D:KT963 C:KJ4,
2over1,2,West,Calm,Calm,S:65 H:KQJ843 D:A5 C:Q63,,S:KJ8 H:A2 D:KT963 C:KJ4,
2over1,3,West,Calm,Calm,S:K5 H:KQJ743 D:75 C:AK4,,S:Q6 H:A82 D:AKQ63 C:763,
2over1,4,East,2D,1S-2D,S:AKJ865 H:43 D:75 C:K63,,S:Q H:A9865 D:962 C:A742,
2over1,5,West,Calm,Calm,S:KJ965 H:AK843 D:75 C:4,,S:Q4 H:QT7 D:AJ6 C:AT986,
2over1,6,West,Calm,Calm,S:65 H:AQ953 D:KQ63 C:Q9,,S:AJT74 H:KT7 D:A95 C:72,
2over1,7,West,Calm,Calm,S:AK9652 H:T983 D:4 C:A8,,S:7 H:AK75 D:K762 C:KQT6,
2over1,8,West,Calm,Calm,S:AK92 H:AQ983 D:85 C:86,,S:875 H:K4 D:AQJT7 C:K97,
2over1,9,West,Calm,Calm,S:A9742 H:A983 D:K6 C:Q7,,S:K8 H:JT7 D:975 C:AKJ62,
2over1,10,West,Calm,Calm,S:A4 H:KJT8653 D:KQ C:87,,S:KJ763 H:AQ7 D:84 C:AQJ,
2over1,11,West,Calm,Calm,S:AJT H:AK985 D:K96 C:Q7,,S:863 H:73 D:AQ4 C:AKJT4,
2over1,12,West,Calm,Calm,S:AJ8752 H:AK D:Q6 C:J87,,S:Q63 H:Q3 D:AKJ94 C:964,
2over1,13,West,Calm,Calm,S:AJT62 H:A62 D:QJ C:T87,,S:K5 H:KQ98543 D:A4 C:A4,
2over1,14,West,Calm,Calm,S:QJ2 H:KT D:KQ865 C:Q87,,S:A H:AQJ753 D:742 C:KJ4,
2over1,15,West,Calm,Calm,S:AQ862 H:T4 D:K65 C:K87,,S:J H:KQJ753 D:432 C:Q54,
2over1,16,West,Calm,Calm,S:AQ862 H:A4 D:95 C:AK87,,S:K H:K753 D:AT32 C:J954,
2over1,17,West,Calm,Calm,S:862 H:AQJ753 D:95 C:A2,,S:K95 H:T6 D:KT32 C:JT54,
2over1,18,West,Calm,Calm,S:KJ2 H:874 D:AQ975 C:Q2,,S:AQT95 H:T96 D:KT86 C:A,
2over1,19,East,X,1H-X,S:K92 H:AK874 D:KT7 C:T8,,S:JT6 H:9 D:853 C:KQJ952,
2over1,20,West,Calm,Calm,S:QJ2 H:J2 D:QJ862 C:AKJ,,S:AK98764 H:KQ7 D:K73 C:,
2over1,21,West,Calm,Calm,S:AJT82 H:AK82 D:Q2 C:T5,,S:74 H:Q73 D:AKJ73 C:KJ9,
2over1,22,West,Calm,Calm,S:AJT82 H:AT82 D:Q2 C:K5,,S:74 H:KQ3 D:AKJ73 C:T97,
2over1,23,West,Calm,Calm,S:T82 H:A2 D:A8542 C:Q85,,S:AK974 H:KQ63 D:73 C:T7,
2over1,24,West,Calm,Calm,S:KQT62 H:A74 D:84 C:A85,,S:74 H:9863 D:A762 C:KQ3,
2over1,25,West,Calm,Calm,S:Q6 H:AKQ972 D:984 C:AQ,,S:AK874 H:J86 D:AJ6 C:93,
2over1,26,West,Calm,Calm,S:QJ8763 H:AK8 D:8 C:K75,,S:A4 H:QJ6 D:7642 C:A963,
2over1,27,West,Calm,Calm,S:QJ9842 H:AJ95 D:83 C:K,,S:T7 H:QT3 D:AJ6 C:AQ642,
2over1,28,West,Calm,Calm,S:AJ8 H:Q652 D:873 C:A74,,S:KQ753 H:87 D:KQ6 C:Q95,
Bidpractice/Set1,1,West,Calm,Calm,S:AT6 H:A74 D:KQT2 C:K84,,S:853 H:K96 D:A863 C:965,
Bidpractice/Set1,2,West,Calm,Calm,S:T97 H:A96 D:KQ73 C:K84,,S:AQ4 H:KT8 D:JT95 C:AQ6,
Bidpractice/Set1,3,West,Calm,Calm,S:KQ82 H:K96 D:A94 C:A65,,S:AJ3 H:A87 D:QJT5 C:QT7,
Bidpractice/Set1,4,West,Calm,Calm,S:AK52 H:872 D:943 C:765,,S:J96 H:AJ5 D:AQJ C:A932,
Bidpractice/Set1,5,West,Calm,Calm,S:KQJ H:QJ95 D:AJ8 C:QJT,,S:T863 H:K42 D:K43 C:K75,
Bidpractice/Set1,6,West,Calm,Calm,S:T84 H:K72 D:Q65 C:KJ93,,S:A976 H:AQ4 D:AJ4 C:QT8,
Bidpractice/Set1,7,West,Calm,Calm,S:AT6 H:K98 D:AJ2 C:KT95,,S:KQ42 H:A73 D:T84 C:874,
Bidpractice/Set1,8,West,Calm,Calm,S:J742 H:85 D:J42 C:9873,,S:KQ6 H:AJT3 D:AQ C:KJ52,
Bidpractice/Set1,9,West,Calm,Calm,S:AT8 H:AT9 D:KQT8 C:K97,,S:K73 H:Q72 D:J94 C:QJT8,
Bidpractice/Set1,10,West,Calm,Calm,S:T962 H:K75 D:954 C:KQ6,,S:KQJ H:A4 D:KQT8 C:AJ73,
Bidpractice/Set1,11,West,Calm,Calm,S:KQ4 H:Q95 D:KQ62 C:K83,,S:AT8 H:KJ3 D:AJ5 C:QJ72,
Bidpractice/Set1,12,West,Calm,Calm,S:T84 H:Q76 D:KJ3 C:KT52,,S:AQ5 H:K85 D:QT76 C:A97,
Bidpractice/Set1,13,West,Calm,Calm,S:QJ4 H:AK D:K76 C:QJT52,,S:KT5 H:Q63 D:AQ54 C:AK3,
Bidpractice/Set1,14,West,Calm,Calm,S:K74 H:QJ5 D:KJT C:A743,,S:QJ9 H:AK8 D:AQ53 C:KQ8,
Bidpractice/Set1,15,West,Calm,Calm,S:AT6 H:AQ4 D:KQJT C:KJ7,,S:853 H:K96 D:A863 C:965,
Bidpractice/Set1,16,West,Calm,Calm,S:764 H:AK8 D:KQ C:AJT74,,S:AK5 H:T743 D:A982 C:KQ,
Bidpractice/Set1,17,West,Calm,Calm,S:KJ9 H:AQ D:KQJ95 C:KT4,,S:T63 H:T85 D:A73 C:Q985,
Bidpractice/Set1,18,West,Calm,Calm,S:KJ92 H:A98 D:QT8 C:KQJ,,S:QT3 H:KT6 D:A94 C:T752,
Bidpractice/Set1,19,West,Calm,Calm,S:KQ93 H:KQT D:AJ7 C:QT8,,S:A7 H:A84 D:KT6 C:KJ742,
Bidpractice/Set1,20,West,Calm,Calm,S:K8 H:AK5 D:A8 C:QT9632,,S:A74 H:Q96 D:KQ52 C:KJ8,
Bidpractice/Set1,21,West,Calm,Calm,S:QJT H:AJ7 D:AK62 C:KQJ,,S:K83 H:9652 D:743 C:852,
